"DOBorough","PUBorough","tip_amount","total_amount","trip_distance","PUMonth","fare_amount","payment_type","percent_tip"
"Manhattan","Manhattan",3.02,18.12,1.07,"Jul",8.6,1,16.6666666666667
"Brooklyn","Queens",5,45.95,7.99,"Oct",35.2,1,10.8813928182807
"Manhattan","Manhattan",6.12,30.62,3.16,"Jan",20.5,1,19.9869366427172
"Manhattan","Queens",16.42,98.52,17.32,"Mar",65.3,1,16.6666666666667
"Manhattan","Manhattan",4.3,21.5,1.07,"Oct",10.7,1,20
"Manhattan","Manhattan",4.12,24.72,3.05,"Jul",15.6,1,16.6666666666667
"Brooklyn","Manhattan",9.6,57.5,9.3,"Dec",42.9,1,16.695652173913
"Manhattan","Manhattan",0,18.2,1.87,"Dec",14.2,1,0
"Manhattan","Manhattan",1.5,14.8,0,"Mar",9.3,1,10.1351351351351
"Manhattan","Manhattan",2.24,13.44,0.7,"Jan",7.2,1,16.6666666666667
"Bronx","Bronx",0,17,0.6,"Oct",15.5,1,0
"Manhattan","Manhattan",3.92,23.52,1.8,"Mar",15.6,1,16.6666666666667
"Manhattan","Manhattan",2.58,19.78,1.31,"Nov",10.7,1,13.0434782608696
"Queens","Manhattan",21.4,106.95,17,"Apr",70,1,20.0093501636279
"Manhattan","Manhattan",7.14,30.94,4.2,"Jun",19.8,1,23.0769230769231
"Manhattan","Manhattan",0,9.1,0.46,"Aug",5.1,1,0
"Manhattan","Manhattan",3.14,18.84,1.36,"Mar",10.7,1,16.6666666666667
"Manhattan","Manhattan",1,22,2.73,"Jul",17,1,4.54545454545455
"Brooklyn","Manhattan",6.78,40.68,5.87,"Jan",28.9,1,16.6666666666667
"Manhattan","Manhattan",2.9,17.6,1.4,"Dec",10.7,1,16.4772727272727
"Manhattan","Manhattan",3.22,19.32,1.7,"Jun",12.1,1,16.6666666666667
"Manhattan","Manhattan",3.92,23.52,2.96,"Mar",15.6,1,16.6666666666667
"Brooklyn","Manhattan",12.8,76.8,8.43,"Jul",60,1,16.6666666666667
"Bronx","Queens",7,106.99,22.81,"Nov",89.8,1,6.54266753902234
"Manhattan","Manhattan",1.82,10.92,0.4,"Dec",5.1,1,16.6666666666667
"Manhattan","Manhattan",3.14,18.84,1.71,"Jan",10.7,1,16.6666666666667
"Manhattan","Manhattan",2.27,24.97,3.34,"Jun",17.7,1,9.09090909090909
"Manhattan","Manhattan",2.95,17.65,1.3,"Jan",10.7,1,16.71388101983
"Manhattan","Manhattan",2.98,14.88,0.84,"Apr",7.9,1,20.0268817204301
"Manhattan","Manhattan",4.96,29.76,4.03,"Aug",19.8,1,16.6666666666667
"Manhattan","Manhattan",4.9,29.4,3.56,"Apr",20.5,1,16.6666666666667
"Manhattan","Manhattan",1.74,10.44,0.68,"Dec",7.2,1,16.6666666666667
"Manhattan","Manhattan",2.3,13.8,0.68,"Oct",6.5,1,16.6666666666667
"Manhattan","Manhattan",3.77,18.87,0.88,"Oct",8.6,1,19.9788023317435
"Manhattan","Manhattan",1,10.8,0.65,"Jul",5.8,1,9.25925925925926
