"DOBorough","PUBorough","tip_amount","total_amount","trip_distance","fare_amount","payment_type","percent_tip"
"Manhattan","Manhattan",4.34,26.04,1.14,17.7,1,16.6666666666667
"Manhattan","Manhattan",3.44,20.64,1.5,10.7,1,16.6666666666667
"Manhattan","Manhattan",6,26,1.58,13.5,1,23.0769230769231
"Manhattan","Airport",0,74,18.41,70,1,0
"Manhattan","Manhattan",2.72,16.32,1.09,8.6,1,16.6666666666667
"Manhattan","Manhattan",4.12,24.72,2.21,15.6,1,16.6666666666667
"Manhattan","Manhattan",2.85,17.25,1,7.9,1,16.5217391304348
"Manhattan","Manhattan",3.98,23.88,1.92,14.9,1,16.6666666666667
"Manhattan","Manhattan",4.26,25.56,3.51,16.3,1,16.6666666666667
"Airport","Manhattan",8,86.44,16.13,62.5,1,9.25497454881999
"Manhattan","Manhattan",2.98,14.88,0.99,7.9,1,20.0268817204301
"Manhattan","Manhattan",5.26,31.56,1.68,19.8,1,16.6666666666667
"Manhattan","Manhattan",5.52,33.12,4.04,22.6,1,16.6666666666667
"Manhattan","Manhattan",1.82,10.92,0.76,5.1,1,16.6666666666667
"Manhattan","Manhattan",1.96,11.76,0.72,5.8,1,16.6666666666667
"Manhattan","Manhattan",3.5,21,1.87,13.5,1,16.6666666666667
"Manhattan","Manhattan",13.32,57.72,6.1,39.4,1,23.0769230769231
"Manhattan","Manhattan",1.72,13.22,0.93,6.5,1,13.0105900151286
"Manhattan","Manhattan",3.78,22.68,2.26,14.9,1,16.6666666666667
"Manhattan","Manhattan",1.79,19.69,1.4,11.4,1,9.09090909090909
"Manhattan","Manhattan",3.64,21.84,2.11,14.2,1,16.6666666666667
"Manhattan","Manhattan",3.51,26.91,3.5,18.4,1,13.0434782608696
"Manhattan","Manhattan",1.5,13.4,0.59,7.9,1,11.1940298507463
"Manhattan","Manhattan",6.16,36.96,2.68,26.8,1,16.6666666666667
"Manhattan","Manhattan",1.5,12.7,1,7.2,1,11.8110236220472
"Manhattan","Manhattan",4.84,29.04,3.28,17.7,1,16.6666666666667
"Manhattan","Manhattan",6.3,37.8,2.72,27.5,1,16.6666666666667
"Manhattan","Manhattan",3.55,17.85,1.5,9.3,1,19.8879551820728
"Manhattan","Manhattan",5.95,29.75,2.9,19.8,1,20
"Manhattan","Manhattan",1.5,11.3,0.6,5.8,1,13.2743362831858
"Manhattan","Manhattan",3.77,18.87,1,8.6,1,19.9788023317435
"Manhattan","Manhattan",5.45,32.75,3.3,23.3,1,16.6412213740458
"Brooklyn","Airport",11.55,69.4,13.3,54.1,1,16.64265129683
"Manhattan","Manhattan",2,27.9,1.92,21.9,1,7.16845878136201
"Manhattan","Manhattan",6.3,37.8,5.8,27.5,1,16.6666666666667
"Manhattan","Manhattan",5.8,34.8,4.45,24,1,16.6666666666667
"Manhattan",NA,10,70.45,11.91,49.9,1,14.194464158978
"Manhattan","Manhattan",3.16,18.96,1.17,9.3,1,16.6666666666667
"Manhattan","Manhattan",5.45,32.75,3.8,23.3,1,16.6412213740458
"Manhattan","Manhattan",2,12.8,0.52,5.8,1,15.625
"Manhattan","Airport",10,71.1,10.13,44.3,1,14.0646976090014
"Manhattan","Manhattan",2.13,23.43,2.85,16.3,1,9.09090909090909
"Manhattan","Manhattan",2.44,14.64,0.97,7.2,1,16.6666666666667
"Manhattan","Manhattan",4.14,31.74,5.15,22.6,1,13.0434782608696
"Manhattan","Manhattan",4.4,26.4,2.84,17,1,16.6666666666667
"Airport","Manhattan",10,67.45,8.6,39.4,1,14.8257968865827
"Manhattan","Manhattan",4.7,28.2,2.43,17,1,16.6666666666667
"Manhattan","Manhattan",2.9,17.6,0.9,10.7,1,16.4772727272727
"Manhattan","Manhattan",3,18,1.9,13.5,1,16.6666666666667
"Manhattan","Manhattan",1.82,10.92,0.42,5.1,1,16.6666666666667
"Airport","Manhattan",19.89,119.34,17.61,86.7,1,16.6666666666667
"Manhattan","Manhattan",3.15,15.75,1.14,8.6,1,20
"Manhattan","Manhattan",1.5,19.3,2.01,12.8,1,7.7720207253886
"Manhattan","Airport",10.85,66.85,9.55,38.7,1,16.2303664921466
"Manhattan","Manhattan",3.6,21.8,2.2,14.2,1,16.5137614678899
"Manhattan","Manhattan",3.02,18.12,1.01,8.6,1,16.6666666666667
"Manhattan","Manhattan",3,18,1.4,10,1,16.6666666666667
"Manhattan","Manhattan",1,10.1,0.53,5.1,1,9.9009900990099
"Airport","Manhattan",2,96.04,18.03,82.1,1,2.08246563931695
"Brooklyn","Airport",8.05,48.3,7.15,31,1,16.6666666666667
"Manhattan","Manhattan",1.96,11.76,0.85,5.8,1,16.6666666666667
"Manhattan","Manhattan",2.72,17.82,1.2,8.6,1,15.2637485970819
"Manhattan","Manhattan",4.4,26.4,2.35,17,1,16.6666666666667
"Manhattan","Manhattan",3,23,1.4,13.5,1,13.0434782608696
"Manhattan","Manhattan",3.08,18.48,1.29,11.4,1,16.6666666666667
"Manhattan","Manhattan",0.63,13.23,1,8.6,1,4.76190476190476
"Manhattan","Manhattan",2,13.9,0.99,7.9,1,14.3884892086331
"Manhattan","Manhattan",5.85,35.25,3.8,25.4,1,16.5957446808511
"Manhattan","Manhattan",2.94,17.64,0.94,10.7,1,16.6666666666667
"Manhattan","Manhattan",1.65,18.15,1.32,10,1,9.09090909090909
"Manhattan","Manhattan",2.86,17.16,1.25,9.3,1,16.6666666666667
"Manhattan","Manhattan",4,25.4,2.46,14.9,1,15.748031496063
"Manhattan","Manhattan",1,14.3,0.89,9.3,1,6.99300699300699
"Manhattan","Manhattan",4.55,22.75,1.96,14.2,1,20
"Manhattan","Manhattan",1.5,15.5,0.7,10,1,9.67741935483871
"Manhattan","Manhattan",0,14.3,1.4,9.3,1,0
"Manhattan","Manhattan",3.7,22.2,1.83,13.5,1,16.6666666666667
"Manhattan","Manhattan",2.94,12.74,0.52,5.8,1,23.0769230769231
"Manhattan","Manhattan",2,29.6,4.2,22.6,1,6.75675675675676
"Manhattan","Manhattan",5.12,30.72,1.65,19.1,1,16.6666666666667
"Manhattan","Manhattan",3,21.2,2.27,14.2,1,14.1509433962264
"Manhattan","Manhattan",1.5,14.8,1.44,9.3,1,10.1351351351351
"Manhattan","Manhattan",3.77,18.87,0.63,8.6,1,19.9788023317435
"Manhattan","Queens",11.41,70.2,9.93,40.1,1,16.2535612535613
"Manhattan","Manhattan",1,30.4,3.95,25.4,1,3.28947368421053
"Manhattan","Manhattan",2.62,13.12,0.65,6.5,1,19.969512195122
"Manhattan","Manhattan",0.08,21.48,1.69,14.9,1,0.37243947858473
"Manhattan","Manhattan",2,18.8,1.2,12.8,1,10.6382978723404
"Manhattan","Manhattan",4.4,26.4,2.6,17,1,16.6666666666667
"Manhattan","Manhattan",2.4,14.6,0.7,7.2,1,16.4383561643836
"Manhattan","Manhattan",2,11.8,0.55,5.8,1,16.9491525423729
"Manhattan","Manhattan",4.12,24.72,2.17,15.6,1,16.6666666666667
"Manhattan","Manhattan",1.03,21.63,3.44,15.6,1,4.76190476190476
"Manhattan","Manhattan",2.5,24.9,2,18.4,1,10.0401606425703
"Manhattan","Manhattan",2.46,14.76,0.61,5.8,1,16.6666666666667
"Manhattan","Manhattan",2.48,27.28,3.4,19.8,1,9.09090909090909
"Manhattan","Manhattan",2.52,15.12,1.14,8.6,1,16.6666666666667
"Manhattan","Airport",11.64,71.09,11.85,49.2,1,16.3736109157406
"Manhattan","Manhattan",4.48,26.88,1.98,18.4,1,16.6666666666667
"Manhattan","Manhattan",6.09,26.39,1.38,16.3,1,23.0769230769231
"Manhattan","Manhattan",2.1,9.1,0,3,1,23.0769230769231
"Manhattan","Manhattan",2.31,17.71,0.89,11.4,1,13.0434782608696
"Manhattan","Manhattan",2,14.9,0.82,7.9,1,13.4228187919463
"Manhattan","Manhattan",3.35,21.95,1.32,12.1,1,15.2619589977221
"Brooklyn","Manhattan",7,31.8,3.55,19.8,1,22.0125786163522
"Manhattan","Manhattan",1.26,13.86,1.06,8.6,1,9.09090909090909
"Manhattan","Manhattan",4.4,26.4,1.27,17,1,16.6666666666667
"Manhattan","Manhattan",5.74,34.44,2.27,24.7,1,16.6666666666667
"Manhattan","Manhattan",1.88,11.28,0.35,4.4,1,16.6666666666667
"Manhattan","Manhattan",5.15,25.85,2.4,14.2,1,19.9226305609284
"Manhattan","Manhattan",2.4,14.6,0.7,7.2,1,16.4383561643836
"Brooklyn","Airport",8.05,48.3,7.77,31,1,16.6666666666667
"Manhattan","Manhattan",3.42,20.52,2.05,12.1,1,16.6666666666667
"Manhattan","Manhattan",3.02,18.12,0.84,8.6,1,16.6666666666667
"Manhattan","Manhattan",3.28,19.68,1.63,11.4,1,16.6666666666667
"Manhattan","Manhattan",1.75,20.95,2.41,14.2,1,8.35322195704057
"Manhattan","Manhattan",0,18.6,1.4,12.1,1,0
"Manhattan","Manhattan",4.14,24.84,2.23,14.2,1,16.6666666666667
"Manhattan","Manhattan",2,16.3,1.23,9.3,1,12.2699386503067
"Manhattan","Manhattan",3.15,15.75,1.11,8.6,1,20
"Manhattan","Manhattan",3.05,18.45,1.6,11.4,1,16.5311653116531
"Manhattan","Airport",15,87.19,11.78,52,1,17.2038077761211
"Manhattan","Manhattan",3.78,28.98,4.04,21.2,1,13.0434782608696
"Queens","Manhattan",7.98,47.88,6.41,35.9,1,16.6666666666667
"Manhattan","Airport",12,79.2,9.74,49.9,1,15.1515151515152
"Manhattan","Manhattan",1.78,13.68,1.36,7.9,1,13.0116959064327
"Manhattan","Manhattan",4.9,29.4,2.78,20.5,1,16.6666666666667
"Manhattan","Airport",11.07,67.67,8.57,37.3,1,16.3588000591104
"Queens","Airport",0,48.05,11.7,44.3,1,0
"Manhattan","Manhattan",2.86,17.16,1,9.3,1,16.6666666666667
"Manhattan","Manhattan",3.22,19.32,1.68,12.8,1,16.6666666666667
"Manhattan","Manhattan",1,15,1.53,10,1,6.66666666666667
"Manhattan","Manhattan",3.7,22.2,2.21,13.5,1,16.6666666666667
"Manhattan","Manhattan",1.8,10.9,0.4,5.1,1,16.5137614678899
"Manhattan","Manhattan",3.92,23.52,2.91,15.6,1,16.6666666666667
"Manhattan","Manhattan",3.03,13.13,0.55,5.1,1,23.0769230769231
"Queens","Manhattan",6,61.85,10.45,44.3,1,9.70088924818108
"Manhattan","Manhattan",2.24,13.44,0.57,7.2,1,16.6666666666667
"Manhattan","Manhattan",3.78,22.68,1.93,14.9,1,16.6666666666667
"Manhattan","Manhattan",5.32,31.92,2.52,22.6,1,16.6666666666667
"Manhattan","Manhattan",1.5,11.3,0.4,5.8,1,13.2743362831858
"Manhattan","Manhattan",2.17,10.87,0.93,7.2,1,19.9632014719411
"Manhattan","Manhattan",2.94,17.64,1.2,10.7,1,16.6666666666667
"Manhattan","Manhattan",0,16.4,2.17,11.4,1,0
"Manhattan","Airport",10.35,62.14,8.3,33.1,1,16.6559382040554
"Manhattan","Manhattan",0,17.8,2.48,12.8,1,0
"Manhattan","Manhattan",5.85,25.45,1.8,15.6,1,22.9862475442043
"Manhattan","Manhattan",4.2,18.2,1.6,10,1,23.0769230769231
"Manhattan","Manhattan",2,11.4,0.3,4.4,1,17.5438596491228
"Manhattan","Manhattan",1.4,15.4,1.49,10,1,9.09090909090909
"Manhattan","Manhattan",3.6,21.8,2.4,14.2,1,16.5137614678899
"Manhattan","Manhattan",5.04,30.24,2.92,21.2,1,16.6666666666667
"Manhattan","Manhattan",2.4,29,3.35,22.6,1,8.27586206896552
"Manhattan","Manhattan",3,18,1.6,10,1,16.6666666666667
"Manhattan","Manhattan",4.26,25.56,2.58,16.3,1,16.6666666666667
"Manhattan","Manhattan",4.55,27.35,1.7,16.3,1,16.636197440585
"Manhattan","Airport",13.38,80.28,10.9,47.1,1,16.6666666666667
"Manhattan","Manhattan",2,19.5,1.85,13.5,1,10.2564102564103
"Queens","Queens",2,44.7,7.76,38.7,1,4.47427293064877
"Manhattan","Manhattan",3,16.3,0.8,9.3,1,18.4049079754601
"Manhattan","Manhattan",4.06,24.36,1.63,16.3,1,16.6666666666667
"Manhattan","Queens",0,69,16.9,67.5,1,0
"Queens","Manhattan",6.92,41.52,6.09,29.6,1,16.6666666666667
"Manhattan","Manhattan",3.15,15.75,1.17,8.6,1,20
"Manhattan","Manhattan",0,22.7,3.65,17.7,1,0
"Manhattan","Manhattan",2.66,15.96,1.33,9.3,1,16.6666666666667
"Manhattan","Manhattan",3.22,19.32,1.02,12.1,1,16.6666666666667
"Queens","Airport",5,72.45,15.73,63.2,1,6.90131124913734
"Manhattan","Manhattan",2.2,13.4,0.7,7.2,1,16.4179104477612
"Manhattan","Manhattan",9.1,45.5,3.08,32.4,1,20
"Manhattan","Manhattan",2.68,20.58,1.2,11.4,1,13.022351797862
"Brooklyn","Airport",10.65,63.9,10.6,45,1,16.6666666666667
"Manhattan","Manhattan",4.2,25.2,2.4,17,1,16.6666666666667
"Manhattan","Manhattan",5.8,34.8,5.03,24,1,16.6666666666667
"Manhattan","Manhattan",3.3,16.6,0.7,9.3,1,19.8795180722892
"Manhattan","Manhattan",3.28,19.68,2.12,11.4,1,16.6666666666667
"Manhattan","Manhattan",7,35,3.08,24,1,20
"Manhattan","Manhattan",2.74,16.44,0.78,7.2,1,16.6666666666667
"Manhattan","Manhattan",2.24,13.44,0.53,7.2,1,16.6666666666667
